Orð;Mark;Lemma;Leiðrétt mark;Leiðrétt lemma
.;punct;.;;
Virtu;sfg3fþ;virða;;
margir;lkfnsf;margur;;
menn;nkfn;maður;;
sem;ct;sem;;
þeir;fpkfn;hann;;
héldu;sfg3fþ;halda;;
þá;aa;þá;;
til;ae;til;;
rangs;lheesf;rangur;;
.;punct;.;;
En;c;en;;
þeir;fakfn;sá;;
menn;nkfn;maður;;
sem;ct;sem;;
vanhluta;nkeþ;vanhluti;;
þóttust;sfm3fþ;þykja;;
verða;sng;verða;;
fyrir;aþ;fyrir;;
þeim;fakfþ;sá;;
fóstbræðrum;nkfþ;fóstbróðir;;
fóru;sfg3fþ;fara;;
á;ao;á;;
fund;nkeo;fundur;;
Vermundar;nkee-s;Vermundur;;
og;c;og;;
báðu;sfg3fþ;biðja;;
hann;fpkeo;hann;;
koma;sng;koma;;
af;aþ;af;;
sér;fpkeþ;sig;;
þessum;fahfþ;þessi;;
vandræðum;nhfþ;vandræði;;
.;punct;.;;
Vermundur;nken-s;Vermundur;;
bauð;sfg3eþ;bjóða;;
Hávari;nkeþ-s;Hávar;;
og;c;og;;
Bersa;nkeþ-s;Bersi;;
á;ao;á;;
sinn;fekeo;sinn;;
fund;nkeo;fundur;;
og;c;og;;
sagði;sfg3eþ;segja;;
þeim;fphfþ;það;;
að;aþ;að;;
mönnum;nkfþ;maður;;
líkaði;sfg3eþ;líka;;
lítt;aa;lítt;;
til;ae;til;;
sona;nkfe;sonur;;
þeirra;fpkfe;hann;;
.;punct;.;;
«;punct;«;;
Ertu;sfg2en;vera;;
,;punct;,;;
Hávar;nken-s;Hávar;;
,;punct;,;;
utanhéraðsmaður;nken;utanhéraðsmaður;;
,;punct;,;;
»;punct;»;;
sagði;sfg3eþ;segja;;
hann;fpken;hann;;
,;punct;,;;
«;punct;«;;
og;c;og;;
hefir;sfg3en;hafa;;
sest;ssm;setja;;
hér;aa;hér;;
niður;aa;niður;;
að;c;að;;
engis;fokee;engi;;
manns;nkee;maður;;
leyfi;nheþ;leyfi;;
.;punct;.;;
Höfum;sfg1fn;hafa;;
vér;fp1fn;vér;;
ekki;aa;ekki;;
amast;ssm;ama;;
við;ao;við;;
byggð;nveo;byggð;;
þína;feveo;þinn;;
hér;aa;hér;;
til;aa;til;;
en;c;en;;
nú;aa;nú;;
sýnist;sfm3en;sýna;;
mér;fp1eþ;ég;;
standa;sng;standa;;
af;aþ;af;;
Þorgeiri;nkeþ-s;Þorgeir;;
syni;nkeþ;sonur;;
þínum;fekeþ;þinn;;
órói;nken;órói;;
og;c;og;;
stormur;nken;stormur;;
.;punct;.;;
Viljum;sfg1fn;vilja;;
vér;fp1fn;vér;;
nú;aa;nú;;
að;c;að;;
þú;fp2en;þú;;
færir;svg2en;færa;;
bústað;nkeo;bústaður;;
þinn;fekeo;þinn;;
og;c;og;;
byggð;nveo;byggð;;
brott;aa;brott;;
úr;aþ;úr;;
Ísafirði;nkeþ-s;Ísafjörður;;
en;c;en;;
Bersa;nkeþ-s;Bersi;;
og;c;og;;
son;nkeo;sonur;;
hans;fpkee;hann;;
munum;sfg1fn;munu;;
vér;fp1fn;vér;;
af;aþ;af;;
því;fpheþ;það;;
eigi;aa;eigi;;
á;aa;á;;
brott;aa;brott;;
reka;sng;reka;;
að;c;að;;
þeir;fpkfn;hann;;
eru;sfg3fn;vera;;
hér;aa;hér;;
kynjaðir;lkfnsf;kynjaður;;
.;punct;.;;
Væntum;sfg1fn;vænta;;
vér;fp1fn;vér;;
og;c;og;;
að;c;að;;
minni;lhfnvm;lítill;;
stormur;nken;stormur;;
standi;svg3en;standa;;
af;aþ;af;;
Þormóði;nkeþ-s;Þormóður;;
ef;c;ef;;
þeir;fpkfn;hann;;
Þorgeir;nken-s;Þorgeir;;
skiljast;snm;skilja;;
.;punct;.;;
»;punct;»;;
Hávar;nken-s;Hávar;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Ráða;sng;ráða;;
muntu;sfg2en;munu;;
því;aa;því;;
Vermundur;nken-s;Vermundur;;
að;c;að;;
vér;fp1fn;vér;;
munum;sfg1fn;munu;;
ráðast;snm;ráða;;
í;aa;í;;
brott;aa;brott;;
úr;aþ;úr;;
Ísafirði;nkeþ-s;Ísafjörður;;
með;ao;með;;
fé;nheo;fé;;
vort;feheo;vor;;
en;c;en;;
eigi;aa;eigi;;
veit;sfg1en;vita;;
eg;fp1en;eg;;
nema;c;nema;;
Þorgeir;nken-s;Þorgeir;;
vilji;svg3en;vilja;;
ráða;sng;ráða;;
vistum;nvfþ;vist;;
sínum;fevfþ;sinn;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
eftir;ao;eftir;;
þessa;faveo;þessi;;
þeirra;fpkfe;hann;;
ráðagerð;nveo;ráðagerð;;
færði;sfg3eþ;færa;;
Hávar;nkeo-s;Hávar;;
bústað;nkeo;bústaður;;
sinn;fekeo;sinn;;
suður;aa;suður;;
til;ae;til;;
Borgarfjarðar;nkee-s;Borgarfjörður;;
og;c;og;;
byggði;sfg3eþ;byggja;;
þar;aa;þar;;
sem;c;sem;;
nú;aa;nú;;
heita;sfg3fn;heita;;
Hávarstóftir;nvfo-s;Hávarstóft;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
var;sfg3eþ;vera;;
þá;aa;þá;;
ýmist;c;ýmist;;
með;aþ;með;;
föður;nkeþ;faðir;;
sínum;fekeþ;sinn;;
eða;c;eða;;
vestur;aa;vestur;;
í;aþ;í;;
Ísafirði;nkeþ-s;Ísafjörður;;
með;aþ;með;;
Þormóði;nkeþ-s;Þormóður;;
og;c;og;;
var;sfg3eþ;vera;;
hann;fpken;hann;;
mörgum;lkfþsf;margur;;
mönnum;nkfþ;maður;;
nokkur;foken;nokkur;;
andvaragestur;nken;andvaragestur;;
þar;aa;þar;;
sem;c;sem;;
hann;fpken;hann;;
kom;sfg3eþ;koma;;
þó;aa;þó;;
að;c;að;;
hann;fpken;hann;;
væri;svg3eþ;vera;;
á;aþ;á;;
ungum;lkeþsf;ungur;;
aldri;nkeþ;aldur;;
.;punct;.;;
Löngum;aa;löngum;;
var;sfg3eþ;vera;;
hann;fpken;hann;;
á;aþ;á;;
Reykjahólum;nkfþ-s;Reykjahólar;;
með;aþ;með;;
Þorgilsi;nkeþ-s;Þorgils;;
frænda;nkeþ;frændi;;
sínum;fekeþ;sinn;;
og;c;og;;
hafði;sfg3eþ;hafa;;
af;aþ;af;;
honum;fpkeþ;hann;;
gott;lheosf;góður;;
yfirlæti;nheo;yfirlæti;;
.;punct;.;;
Mikið;lhensf;mikill;;
vinfengi;nhen;vinfengi;;
var;sfg3eþ;vera;;
með;aþ;með;;
þeim;fpkfþ;hann;;
Ara;nkeþ-s;Ari;;
Þorgilssyni;nkeþ-s;Þorgilsson;;
þegar;c;þegar;;
á;aþ;á;;
unga;lkeþvf;ungur;;
aldri;nkeþ;aldur;;
og;c;og;;
hélst;sfm3eþ;halda;;
þeirra;fphfe;það;;
vinfengi;nheþ;vinfengi;;
meðan;c;meðan;;
þeir;fpkfn;hann;;
lifðu;sfg3fþ;lifa;;
báðir;fokfn;báðir;;
.;punct;.;;
Jöður;nken-s;Jöður;;
hét;sfg3eþ;heita;;
maður;nken;maður;;
er;ct;er;;
bjó;sfg3eþ;búa;;
á;aþ;á;;
bæ;nkeþ;bær;;
þeim;fakeþ;sá;;
er;ct;er;;
heitir;sfg3en;heita;;
á;aþ;á;;
Skeljabrekku;nveþ-s;Skeljabrekka;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
garpur;nken;garpur;;
mikill;lkensf;mikill;;
og;c;og;;
höfðingi;nken;höfðingi;;
,;punct;,;;
ódæll;lkensf;ódæll;;
og;c;og;;
lítill;lkensf;lítill;;
jafnaðarmaður;nken;jafnaðarmaður;;
við;ao;við;;
marga;lkfosf;margur;;
menn;nkfo;maður;;
,;punct;,;;
ríkur;lkensf;ríkur;;
í;aþ;í;;
héraðinu;nheþg;hérað;;
og;c;og;;
stórráður;lkensf;stórráður;;
,;punct;,;;
vígamaður;nken;vígamaður;;
mikill;lkensf;mikill;;
og;c;og;;
bætti;sfg3eþ;bæta;;
menn;nkfo;maður;;
sjaldan;aa;sjaldan;;
fé;nheþ;fé;;
þótt;c;þótt;;
hann;fpken;hann;;
vægi;svg3eþ;vega;;
.;punct;.;;
Það;fphen;það;;
bar;sfg3eþ;bera;;
að;aa;að;;
einn;fokeo;einn;;
vetur;nkeo;vetur;;
að;c;að;;
Jöður;nken-s;Jöður;;
og;c;og;;
húskarlar;nkfn;húskarl;;
hans;fpkee;hann;;
fóru;sfg3fþ;fara;;
út;aa;út;;
á;ao;á;;
Akranes;nheo-s;Akranes;;
að;aþ;að;;
mjölkaupum;nhfþ;mjölkaup;;
.;punct;.;;
Í;aþ;í;;
þeirri;faveþ;sá;;
för;nveþ;för;;
kom;sfg3eþ;koma;;
hann;fpken;hann;;
til;ae;til;;
Hávars;nkee-s;Hávar;;
og;c;og;;
bað;sfg3eþ;biðja;;
að;c;að;;
hann;fpken;hann;;
mundi;svg3eþ;munu;;
ljá;sng;ljá;;
honum;fpkeþ;hann;;
hest;nkeo;hestur;;
út;aa;út;;
á;ao;á;;
Nes;nheo-s;Nes;;
.;punct;.;;
Hann;fpken;hann;;
léði;sfg3eþ;ljá;;
honum;fpkeþ;hann;;
hestinn;nkeog;hestur;;
«;punct;«;;
og;c;og;;
vil;sfg1en;vilja;;
eg;fp1en;eg;;
að;c;að;;
þú;fp2en;þú;;
látir;svg2en;láta;;
hestinn;nkeog;hestur;;
hér;aa;hér;;
eftir;aa;eftir;;
er;c;er;;
þú;fp2en;þú;;
ferð;sfg2en;fara;;
aftur;aa;aftur;;
og;c;og;;
hafir;svg2en;hafa;;
þú;fp2en;þú;;
eigi;aa;eigi;;
lengra;aam;langt;;
.;punct;.;;
»;punct;»;;
Jöður;nken-s;Jöður;;
kvað;sfg3eþ;kveða;;
svo;aa;svo;;
vera;sng;vera;;
skyldu;sng--þ;skyldu;;
.;punct;.;;
Síðan;aa;síðan;;
fór;sfg3eþ;fara;;
hann;fpken;hann;;
út;aa;út;;
á;ao;á;;
Nes;nheo-s;Nes;;
og;c;og;;
keypti;sfg3eþ;kaupa;;
mjöl;nheo;mjöl;;
sem;ct;sem;;
hann;fpken;hann;;
ætlaði;sfg3eþ;ætla;;
og;c;og;;
fór;sfg3eþ;fara;;
heimleiðis;aa;heimleiðis;;
þá;aa;þá;;
er;c;er;;
hann;fpken;hann;;
hafði;sfg3eþ;hafa;;
það;fphen;það;;
annast;sfm3en;anna;;
að;c;að;;
honum;fpkeþ;hann;;
bar;sfg3eþ;bera;;
nauðsyn;nven;nauðsyn;;
til;aa;til;;
.;punct;.;;
Og;c;og;;
þá;aa;þá;;
er;sfg3en;vera;;
hann;fpken;hann;;
fór;sfg3eþ;fara;;
utan;aa;utan;;
með;aþ;með;;
Grunnafirði;nkeþ-s;Grunnafjörður;;
um;ao;um;;
bæ;nkeo;bær;;
Hávars;nkee-s;Hávar;;
þá;aa;þá;;
ræddu;sfg3fþ;ræða;;
förunautar;nkfn;förunautur;;
hans;fpkee;hann;;
um;aa;um;;
við;ao;við;;
hann;fpkeo;hann;;
að;c;að;;
þeir;fpkfn;hann;;
mundu;svg3fþ;munu;;
koma;sng;koma;;
þar;aa;þar;;
til;ae;til;;
húss;nhee;hús;;
og;c;og;;
láta;sng;láta;;
þar;aa;þar;;
eftir;ao;eftir;;
hestinn;nkeog;hestur;;
.;punct;.;;
Jöður;nken-s;Jöður;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Eigi;aa;eigi;;
nenni;sfg1en;nenna;;
eg;fp1en;eg;;
að;cn;að;;
dveljast;snm;dvelja;;
að;aþ;að;;
því;fpheþ;það;;
.;punct;.;;
Mun;sfg1en;munu;;
eg;fp1en;eg;;
nú;aa;nú;;
hafa;sng;hafa;;
hestinn;nkeog;hestur;;
heim;aa;heim;;
undir;aþ;undir;;
klyfjum;nvfþ;klyf;;
og;c;og;;
senda;sng;senda;;
honum;fpkeþ;hann;;
þegar;c;þegar;;
aftur;aa;aftur;;
er;sfg1en;vera;;
eg;fp1en;eg;;
hefi;sfg1en;hafa;;
haft;ssg;hafa;;
í;ao;í;;
mína;feveo;minn;;
nauðsyn;nveo;nauðsyn;;
.;punct;.;;
»;punct;»;;
Þeir;fpkfn;hann;;
segja;sfg3fn;segja;;
:;punct;:;;
«;punct;«;;
Gera;nkeþ-s;Geri;;
máttu;sfg3fþ;mega;;
það;fpheo;það;;
ef;c;ef;;
þú;fp2en;þú;;
vilt;sfg2en;vilja;;
en;c;en;;
eigi;aa;eigi;;
hefir;sfg3en;hafa;;
Hávari;nkeþ-s;Hávar;;
jafnan;aa;jafnan;;
líkað;ssg;líka;;
ef;c;ef;;
af;aþ;af;;
því;fpheþ;það;;
væri;svg3eþ;vera;;
brugðið;sþghen;bregða;;
er;c;er;;
hann;fpken;hann;;
vildi;sfg3eþ;vilja;;
vera;sng;vera;;
láta;sng;láta;;
.;punct;.;;
»;punct;»;;
«;punct;«;;
Ekki;aa;ekki;;
mun;sfg3en;munu;;
nú;aa;nú;;
fyrir;ao;fyrir;;
það;fpheo;það;;
gert;sþghen;gera;;
,;punct;,;;
»;punct;»;;
segir;sfg3en;segja;;
Jöður;nken-s;Jöður;;
.;punct;.;;
Hávar;nken-s;Hávar;;
sér;sfg3en;sjá;;
ferð;nveo;ferð;;
þeirra;fpkfe;hann;;
og;c;og;;
kennir;sfg3en;kenna;;
mennina;nkfog;maður;;
,;punct;,;;
fer;sfg3en;fara;;
til;ae;til;;
fundar;nkee;fundur;;
við;ao;við;;
þá;fpkfo;hann;;
og;c;og;;
heilsar;sfg3en;heilsa;;
þeim;fphfþ;það;;
og;c;og;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Nú;aa;nú;;
munuð;sfg2fn;munu;;
þér;fp2fn;þér;;
láta;sng;láta;;
hér;aa;hér;;
eftir;ao;eftir;;
hestinn;nkeog;hestur;;
.;punct;.;;
»;punct;»;;
Jöður;nken-s;Jöður;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Þú;fp2en;þú;;
munt;sfg2en;munu;;
vilja;sng;vilja;;
lána;sng;lána;;
mér;fp1eþ;ég;;
hestinn;nkeog;hestur;;
heim;aa;heim;;
til;ae;til;;
Skeljabrekku;nvee-s;Skeljabrekka;;
.;punct;.;;
»;punct;»;;
Hávar;nken-s;Hávar;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Eigi;aa;eigi;;
vil;sfg1en;vilja;;
eg;fp1en;eg;;
að;c;að;;
nú;aa;nú;;
fari;svg3en;fara;;
hesturinn;nkeng;hestur;;
lengra;aam;langt;;
.;punct;.;;
»;punct;»;;
Jöður;nken-s;Jöður;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Þó;aa;þó;;
munum;sfg1fn;munu;;
vér;fp1fn;vér;;
hafa;sng;hafa;;
hestinn;nkeog;hestur;;
þóttú;tfhfn;þóttú;;
viljir;svg2en;vilja;;
eigi;aa;eigi;;
ljá;nven;ljá;;
.;punct;.;;
»;punct;»;;
Hávar;nken-s;Hávar;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Svo;aa;svo;;
má;sfg3en;mega;;
vera;sng;vera;;
að;c;að;;
það;fphen;það;;
sé;svg3en;vera;;
.;punct;.;;
»;punct;»;;
Hann;fpken;hann;;
hleypur;sfg3en;hlaupa;;
að;aþ;að;;
hestinum;nkeþg;hestur;;
og;c;og;;
hjó;sfg3eþ;höggva;;
ofan;aa;ofan;;
klyfjarnar;nvfog;klyf;;
og;c;og;;
tók;sfg3eþ;taka;;
í;ao;í;;
tauma;nkfo;taumur;;
hestsins;nkeeg;hestur;;
og;c;og;;
sneri;sfg3eþ;snúa;;
heim;aa;heim;;
á;ao;á;;
leið;nveo;leið;;
.;punct;.;;
Jöður;nken-s;Jöður;;
hafði;sfg3eþ;hafa;;
krókaspjót;nheo;krókaspjót;;
í;aþ;í;;
hendi;nveþ;hönd;;
.;punct;.;;
Hann;fpken;hann;;
snarar;sfg3en;snara;;
þá;aa;þá;;
að;aþ;að;;
Hávari;nkeþ-s;Hávar;;
og;c;og;;
leggur;sfg3en;leggja;;
spjóti;nheþ;spjót;;
í;aa;í;;
gegnum;ao;gegnum;;
hann;fpkeo;hann;;
.;punct;.;;
Af;aþ;af;;
því;faheþ;sá;;
sári;nheþ;sár;;
lét;sfg3eþ;láta;;
Hávar;nken-s;Hávar;;
líf;nheo;líf;;
sitt;feheo;sinn;;
.;punct;.;;
Jöður;nken-s;Jöður;;
tók;sfg3eþ;taka;;
hestinn;nkeog;hestur;;
og;c;og;;
hafði;sfg3eþ;hafa;;
með;aþ;með;;
sér;fpveþ;sig;;
og;c;og;;
fór;sfg3eþ;fara;;
leið;nveo;leið;;
sína;feveo;sinn;;
til;ae;til;;
þess;fphee;það;;
er;c;er;;
hann;fpken;hann;;
kom;sfg3eþ;koma;;
heim;aa;heim;;
.;punct;.;;
Heimamönnum;nkfþ;heimamaður;;
Hávars;nkee-s;Hávar;;
þótti;sfg3eþ;þykja;;
honum;fpkeþ;hann;;
seint;aa;seint;;
heim;aa;heim;;
verða;sng;verða;;
.;punct;.;;
Þeir;fpkfn;hann;;
leituðu;sfg3fþ;leita;;
hans;fpkee;hann;;
og;c;og;;
fundu;sfg3fþ;finna;;
hann;fpkeo;hann;;
dauðan;lkeosf;dauður;;
þar;aa;þar;;
sem;c;sem;;
hann;fpken;hann;;
hafði;sfg3eþ;hafa;;
veginn;nkeog;vegur;;
verið;ssg;vera;;
.;punct;.;;
Þeim;fpkfþ;hann;;
þótti;sfg3eþ;þykja;;
þau;fahfn;sá;;
tíðindi;nhfn;tíðindi;;
mikil;lvensf;mikill;;
vera;nven;vera;;
.;punct;.;;
Í;ao;í;;
þann;fakeo;sá;;
tíma;nkeo;tími;;
var;sfg3eþ;vera;;
Þorgeir;nken-s;Þorgeir;;
vestur;aa;vestur;;
í;aþ;í;;
Ísafirði;nkeþ-s;Ísafjörður;;
.;punct;.;;
Víg;nhen;víg;;
Hávars;nkee-s;Hávar;;
spurðist;sfm3eþ;spyrja;;
skjótt;aa;skjótt;;
víða;aa;víða;;
um;ao;um;;
héruð;nhfo;hérað;;
og;c;og;;
er;sfg3en;vera;;
Þorgeir;nken-s;Þorgeir;;
spurði;sfg3eþ;spyrja;;
víg;nheo;víg;;
föður;nkee;faðir;;
síns;fekee;sinn;;
þá;aa;þá;;
brá;sfg3eþ;bregða;;
honum;fpkeþ;hann;;
ekki;aa;ekki;;
við;ao;við;;
þá;faveo;sá;;
tíðindasögn;nveo;tíðindasögn;;
.;punct;.;;
Eigi;aa;eigi;;
roðnaði;sfg3eþ;roðna;;
hann;fpken;hann;;
því;fpheþ;það;;
að;c;að;;
eigi;aa;eigi;;
rann;sfg3eþ;renna;;
honum;fpkeþ;hann;;
reiði;nveo;reiði;;
í;ao;í;;
hörund;nheo;hörund;;
.;punct;.;;
Eigi;aa;eigi;;
bliknaði;sfg3eþ;blikna;;
hann;fpken;hann;;
því;fpheþ;það;;
að;c;að;;
honum;fpkeþ;hann;;
lagði;sfg3eþ;leggja;;
eigi;aa;eigi;;
heift;nveo;heift;;
í;ao;í;;
brjóst;nheo;brjóst;;
.;punct;.;;
Eigi;aa;eigi;;
blánaði;sfg3eþ;blána;;
hann;fpken;hann;;
því;fpheþ;það;;
að;c;að;;
honum;fpkeþ;hann;;
rann;sfg3eþ;renna;;
eigi;aa;eigi;;
í;ao;í;;
bein;lhfosf;beinn;;
reiði;nhfo;reiði;;
.;punct;.;;
Heldur;aam;gjarna;;
brá;sfg3eþ;bregða;;
hann;fpken;hann;;
sér;fpkeþ;sig;;
engan;fokeo;enginn;;
veg;nkeo;vegur;;
við;ao;við;;
tíðindasögnina;nveog;tíðindasögn;;
því;fpheþ;það;;
að;c;að;;
eigi;aa;eigi;;
var;sfg3eþ;vera;;
hjarta;nhen;hjarta;;
hans;fpkee;hann;;
sem;c;sem;;
fóarn;nhen;fóarn;;
í;aþ;í;;
fugli;nkeþ;fugl;;
.;punct;.;;
Eigi;aa;eigi;;
var;sfg3eþ;vera;;
það;fphen;það;;
blóðfullt;lhensf;blóðfullur;;
svo;aa;svo;;
að;c;að;;
það;fphen;það;;
skylfi;svg3eþ;skjálfa;;
af;aþ;af;;
hræðslu;nveþ;hræðsla;;
heldur;c;heldur;;
var;sfg3eþ;vera;;
það;fphen;það;;
hert;sþghen;herða;;
af;aþ;af;;
hinum;fakeþ;hinn;;
hæsta;lkeþve;hár;;
höfuðsmið;nkeþ;höfuðsmiður;;
í;aþ;í;;
öllum;fokfþ;allur;;
hvatleik;nkeo;hvatleikur;;
.;punct;.;;
Svo;aa;svo;;
er;sfg3en;vera;;
sagt;sþghen;segja;;
að;c;að;;
Þorgeir;nken-s;Þorgeir;;
væri;svg3eþ;vera;;
lítill;lkensf;lítill;;
kvennamaður;nken;kvennamaður;;
.;punct;.;;
Sagði;sfg3eþ;segja;;
hann;fpken;hann;;
það;fpheo;það;;
vera;sng;vera;;
svívirðing;nven;svívirðing;;
síns;fekee;sinn;;
krafts;nkee;kraftur;;
að;cn;að;;
hokra;sng;hokra;;
að;aþ;að;;
konum;nvfþ;kona;;
.;punct;.;;
Sjaldan;aa;sjaldan;;
hló;sfg3eþ;hlæja;;
hann;fpken;hann;;
.;punct;.;;
Óblíður;lkensf;óblíður;;
var;sfg3eþ;vera;;
hann;fpken;hann;;
hversdaglega;aa;hversdaglega;;
við;ao;við;;
alþýðu;nveo;alþýða;;
.;punct;.;;
Mikill;lkensf;mikill;;
var;sfg3eþ;vera;;
hann;fpken;hann;;
vexti;nkeþ;vöxtur;;
og;c;og;;
drengilegur;lkensf;drengilegur;;
í;aþ;í;;
ásjónu;nveþ;ásjóna;;
,;punct;,;;
rammur;lkensf;rammur;;
að;aþ;að;;
afli;nheþ;afl;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
átti;sfg3eþ;eiga;;
exi;nheþ;ex;;
breiða;nvfe;breiða;;
,;punct;,;;
stundar;sfg3en;stunda;;
mikla;lveosf;mikill;;
sköfnungsexi;nveo;sköfnungsexi;;
.;punct;.;;
Hún;fpven;hún;;
var;sfg3eþ;vera;;
snarpegg;nkeo;snarpeggur;;
og;c;og;;
hvöss;lvensf;hvass;;
og;c;og;;
fékk;sfg3eþ;fá;;
mörgum;lkeþsf;margur;;
manni;nkeþ;maður;;
exin;nhfog;ex;;
náttverð;nkeo;náttverður;;
.;punct;.;;
Hann;fpken;hann;;
átti;sfg3eþ;eiga;;
og;aa;og;;
mikið;lheosf;mikill;;
fjaðurspjót;nheo;fjaðurspjót;;
.;punct;.;;
Það;fphen;það;;
var;sfg3eþ;vera;;
með;aþ;með;;
hörðum;lkeþsf;harður;;
oddi;nkeþ;oddur;;
og;c;og;;
hvössum;lvfþsf;hvass;;
eggjum;nvfþ;egg;;
,;punct;,;;
mikill;lkensf;mikill;;
falurinn;nkeng;falur;;
og;c;og;;
digurt;lheosf;digur;;
skaft;nheo;skaft;;
.;punct;.;;
Í;ao;í;;
þann;fakeo;sá;;
tíð;nkeo;tíð;;
var;sfg3eþ;vera;;
á;aþ;á;;
Íslandi;nheþ-s;Ísland;;
sverð;sfg2en;sverja;;
ótíð;lvensf;ótíður;;
mönnum;nkfþ;maður;;
til;ae;til;;
vopnabúnings;nkee;vopnabúningur;;
.;punct;.;;
Nú;aa;nú;;
er;sfg3en;vera;;
Þorgeir;nken-s;Þorgeir;;
spurði;sfg3eþ;spyrja;;
víg;nheo;víg;;
föður;nkee;faðir;;
síns;fekee;sinn;;
þá;aa;þá;;
fór;sfg3eþ;fara;;
hann;fpken;hann;;
á;ao;á;;
Reykjahóla;nkeo-s;Reykjahóli;;
til;ae;til;;
Þorgils;nkee-s;Þorgils;;
og;c;og;;
sagði;sfg3eþ;segja;;
honum;fpkeþ;hann;;
að;c;að;;
hann;fpken;hann;;
vildi;svg3eþ;vilja;;
fara;sng;fara;;
suður;aa;suður;;
í;ao;í;;
Borgarfjörð;nkeo-s;Borgarfjörður;;
að;cn;að;;
hitta;sng;hitta;;
móður;nveo;móðir;;
sína;feveo;sinn;;
og;c;og;;
bað;sfg3eþ;biðja;;
að;c;að;;
hann;fpken;hann;;
skyldi;svg3eþ;skulu;;
fá;sng;fá;;
honum;fpkeþ;hann;;
flutning;nkeo;flutningur;;
yfir;ao;yfir;;
Breiðafjörð;nkeo-s;Breiðafjörður;;
.;punct;.;;
Þorgils;nken-s;Þorgils;;
gerði;sfg3eþ;gera;;
sem;c;sem;;
hann;fpken;hann;;
bað;sfg3eþ;biðja;;
.;punct;.;;
Nú;aa;nú;;
fer;sfg3en;fara;;
hann;fpken;hann;;
suður;aa;suður;;
í;ao;í;;
Borgarfjörð;nkeo-s;Borgarfjörður;;
og;c;og;;
er;sfg3en;vera;;
ekki;aa;ekki;;
getið;sþghen;geta;;
um;ao;um;;
náttstaði;nkfo;náttstaður;;
hans;fpkee;hann;;
.;punct;.;;
Færðir;nvfn;færð;;
voru;sfg3fþ;vera;;
góðar;lvfnsf;góður;;
og;c;og;;
snælaust;lhensf;snælaus;;
í;aþ;í;;
héraðinu;nheþg;hérað;;
.;punct;.;;
Vötnin;nhfng;vatn;;
lágu;sfg3fþ;liggja;;
öll;fohfn;allur;;
.;punct;.;;
Og;c;og;;
er;c;er;;
hann;fpken;hann;;
kom;sfg3eþ;koma;;
suður;aa;suður;;
yfir;ao;yfir;;
Hvítá;nveo-s;Hvítá;;
þá;aa;þá;;
lagði;sfg3eþ;leggja;;
hann;fpken;hann;;
leið;nveo;leið;;
sína;feveo;sinn;;
til;ae;til;;
Skeljabrekku;nvee-s;Skeljabrekka;;
.;punct;.;;
Veður;nhen;veður;;
var;sfg3eþ;vera;;
þykkt;lhensf;þykkur;;
og;c;og;;
hlætt;lhensf;hlæður;;
,;punct;,;;
myrkt;lhensf;myrkur;;
úti;aa;úti;;
bæði;c;bæði;;
fyrir;ao;fyrir;;
veðurs;nhee;veður;;
sakir;nvfo;sök;;
og;c;og;;
nætur;nvfo;nótt;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
kom;sfg3eþ;koma;;
til;ae;til;;
Skeljabrekku;nvee-s;Skeljabrekka;;
síð;lvensf;síður;;
um;aa;um;;
aftan;aa;aftan;;
og;c;og;;
er;c;er;;
hann;fpken;hann;;
kom;sfg3eþ;koma;;
á;ao;á;;
bæinn;nkeog;bær;;
þá;aa;þá;;
voru;sfg3fþ;vera;;
dyr;nvfn;dyr;;
aftur;aa;aftur;;
loknar;lvfnsf;lokinn;;
og;c;og;;
menn;nkfn;maður;;
nýkomnir;lkfnsf;nýkominn;;
í;aþ;í;;
stofu;nveþ;stofa;;
frá;aþ;frá;;
eldi;nkeþ;eldur;;
.;punct;.;;
Ljós;nhen;ljós;;
brann;sfg3eþ;brenna;;
í;aþ;í;;
stofunni;nveþg;stofa;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
drap;sfg3eþ;drepa;;
á;ao;á;;
dyr;nvfo;dyr;;
.;punct;.;;
Jöður;nken-s;Jöður;;
tók;sfg3eþ;taka;;
til;ae;til;;
orða;nhfe;orð;;
:;punct;:;;
«;punct;«;;
Á;ao;á;;
dyr;nvfo;dyr;;
er;sfg3en;vera;;
drepið;sþghen;drepa;;
.;punct;.;;
Gangið;sbg2fn;ganga;;
út;aa;út;;
nokkur;fohfo;nokkur;;
sveina;nkfo;sveinn;;
.;punct;.;;
»;punct;»;;
Þá;aa;þá;;
sá;sfg3eþ;sjá;;
út;aa;út;;
